uniqueID,universityName,courseTitle,courseDescription,universityDescription
19,RMIT UNIVERSITY,Master of Information Technology (Available from 01/12/2023),"The Master of Information Technology is a great pathway to a tech career, providing you with the technical proficiency and theoretical base to keep pace with rapid changes in technology and business. Studying in the heart of Melbourne, you’ll learn essential technical skills, apply them to a range of platforms and develop expertise in IT fundamentals, such as algorithms, analytics, data mining, cloud computing and programming.The Master of Information Technology will give you the tech skills and programming power needed to boost your career. You’ll graduate with a strong theoretical base and technical proficiency to keep pace with rapid changes in technology and business. Throughout your studies, you’ll apply your newly acquired technical skills to various platforms and develop expertise in IT fundamentals, such as algorithms, analytics, data mining, cloud computing and programming.Scholarships View all scholarshipsInternships","RMIT is a global university of technology, design, and enterprise. It is one of the world's top 200 universities (QS University Rankings 2025) and is known for its global excellence in higher education and applied research.RMIT's campuses are equipped with some of the most advanced technology and facilities in the world, providing the tools needed for truly ground-breaking research to be carried out.The university is one of the largest in Australia, and has existed since 1887. It's also the only higher education institution in the country that can use the prefix ""Royal"" alongside the official coat of arms of the monarchy, having been awarded patronage by Queen Elizabeth II.The main campus of the university is situated in Melbourne, one of the best cities in the country for students. There three campuses and two other sites in Australia, a further two campuses in Vietnam, as well as an industry and research collaboration centre in Spain. As well as this, the university has cultivated partnerships with 200 different institutions across over 40 countries worldwide.RMIT is ranked 123rd globally (QS Rankings 2025) and ranked 3rd globally in reducing inequality (Times Higher Education Impact Rankings 2022). Students from around the world are welcomed to the university, and it has an extensive exchange program for students who wish to study here as part of a degree undertaken elsewhere.The university is a specialist in applied learning, including practical and industry-based study. Working alongside some of the biggest brands in the world such as Deloitte, Adidas and BMW, RMIT offers programs that are designed to ensure students are ready to step into an exciting career upon graduation. Many of the programs include placement opportunities, work experience options and internships."
20,WESTERN SYDNEY UNIVERSITY,Master of Engineering (Telecommunication),"Recent advances in computer and telecommunications networked systems have increased the importance of network technologies in the discipline of computer science. This major gives you a thorough technical understanding of modern networked computer systems, how they work and the principles that govern them.Scholarships View all scholarshipsInternships","Western Sydney University (Western) is a student-centred institution that ranks in the top two percent of universities in the world (Times Higher Education World University Rankings). With a dynamic and diverse student community, the university also received a five-star rating for teaching quality by QS World University Rankings. Students have access to world-class facilities and resources and the university is committed to continual development and innovation. These qualities are reflected in five-star ratings for innovation and facilities (QS Word University Rankings).Western Sydney University graduates are workplace ready. The university's employability status has also been given a five-star rating by the QS World University Rankings. At Western, students have the opportunity to undertake internships, volunteering and work experience, which develops their skill sets and enhances their employability.Located in the beautiful city of Sydney, students of Western can explore one of the most liveable cities on the planet. Sydney enjoys a sunny climate with mild winters and warm summers, perfect for making the most of the city's many beaches. Students won't want to miss the year-round art, music, food, theatre, film and design festivals that put Sydney on the world cultural map.Western places immense value on diversity and embracing the different cultures, both within the university community and the wider populace of Western Sydney, which has one of the most diverse populations in Australia. Being home to students from all over the world creates a thriving centre of opportunity, diversity and innovation. At Western, students will be part of a dynamic, welcoming and culturally rich community where lifelong friends and connections are made."
21,LANGARA COLLEGE,Diploma in Library and Information Technology,"Langara College’s Library & Information Technology Program gives graduates access to a wide variety of jobs in both hands-on interaction with people and in behind-the-scenes technical services. The library career is for those who love working with the public, organizing information, and are committed to lifelong learning.Our Library & Information Technology Diploma Program is recognized across Canada and has been developed in accordance with the Canadian Library Association Guidelines for the Education of Library Technicians in Canada. Students can complete the program entirely online, on-campus, or with mixture of both.The Library & Information Technology Program has maintained its currency and competitiveness amid rapid technological advancement. Our graduates are highly skilled in today’s essential computer applications as well as specialized library management systems. We teach students important skills for developing search strategies for library databases and open resources on the internet. Students also learn how to catalogue, maintain, and retrieve print, digital and non-print resources as well as specialized media including film, maps and photographs.Our students have the opportunities to practice what they have learned by completing two practicum placements in the community during their studies. Our graduates are successfully employed in public, academic, or special libraries such as medical, law, corporate and governmental institutions. Library technicians hold supervisory positions or work cooperatively with librarians and other professionals to manage information resources, from helping people retrieve information and materials, to records management for technology-based businesses.Scholarships View all scholarshipsInternships","Langara College helps students find their path by delivering a range of educational and career programs to over 19,400 students every year (2023-2024). Situated in Vancouver, one of the most liveable cities in the world, students benefit from the events and attractions of a large metropolis while simultaneously enjoying the stunning natural landscapes of the mountains and the west coast.The College offers over 1,700 courses in over 150 programs. This includes more than 70 career programs giving students the practical skills to work and learn in preparation for a new career. The breadth of academic offerings allows students and graduates to follow their own educational path and achieve their academic and personal goals.As a public post-secondary Designated Learning Institution (DLI), students are eligible to take advantage of off-campus and post-graduation work opportunities through the Government of Canada's Post-Graduation Work Permit Program (PGWPP), which is catered to by many of the college's eligible programs.The College is one of Canada's premier institutions for university transfer allowing students to start at Langara and finish a bachelor's degree at another world-class Canadian university. It provides education at affordable tuition fees, which are lower when compared to universities. Students benefit from small class sizes taught by award-winning instructors.The Langara English for Academic Preparation (LEAP) program is one of the best ESL programs in Canada to learn and upgrade English language skills before starting an academic program in English.International students can also apply to live with a Canadian family through the homestay accommodation program."
22,SHERIDAN COLLEGE INSTITUTE OF TECHNOLOGY AND ADVANCED LEARNING,Ontario College Diploma in Computer Systems Technician – Information Technology Infrastructure and Services (Co-op),"Information Technology Infrastructure and Services professionals play a critical role in today's technology-driven economy, helping end users work effectively with complex hardware, software, networks and websites using sophisticated tools and applications. Prepare for a strong career in this field as you learn through labs, simulators and projects. You'll also gain critical ""soft skills"" such as customer support, team work, leadership, entrepreneurship and communication.Graduates of the IT Infrastructure and Services diploma program have a highly sought-after skill set. Positions typically lead to rapid promotion within the information technology field. Students learn entrepreneurial skills that would assist those seeking to start their own IT business or consulting firmCo- op AvaialableScholarships Internships","Sheridan College offers students the opportunity to live and study only a short distance from Canada's largest city: Toronto. Students can enrol on 140 full-time study programs, including 28 degree programs, and can tailor their learning experience to their own individual interests and ambitions.Students at Sheridan College benefit from the expertise of staff with considerable professional experience, and enjoy small class sizes and innovative, inspiring teaching methods. The college boasts five faculties, enabling the efficient streamlining of teaching and resources:	Faculty of Animation, Art and Design	Faculty of Applied Health and Community Studies	Faculty of Applied Science and Technology	Faculty of Humanities and Social Sciences	Pilon School of BusinessIndustry-standard courses are informed by employers, ensuring curricula stay up to date with modern standards and requirements. With a heavy focus on the employability of its graduates, the college ensures all of its full-time study programs include an element of experiential learning, with students gaining the knowledge, practical skills, and professional connections needed to effectively boost their career prospects.Indian students join a welcoming community of over 40,000 students at Sheridan College, including 15,400 international students representing 116 countries. A range of activities, events, clubs and societies exist to ensure all students quickly make strong connections and feel at home at the college.With its three campuses located in cities in the Greater Toronto Area, students at Sheridan College benefit from the region's vibrant, multicultural atmosphere, without the busy crowds of the metropolis itself. Indian students benefit from strong flight connections to India, with direct flights to New Delhi from Toronto taking less than 16 hours."
23,SHERIDAN COLLEGE INSTITUTE OF TECHNOLOGY AND ADVANCED LEARNING,Ontario College Diploma in Computer Systems Technician – Information Technology Infrastructure and Services,"Information Technology Infrastructure and Services professionals play a critical role in today's technology-driven economy, helping end users work effectively with complex hardware, software, networks and websites using sophisticated tools and applications. Prepare for a strong career in this field as you learn through labs, simulators and projects. You'll also gain critical ""soft skills"" such as customer support, team work, leadership, entrepreneurship and communication.Graduates of the IT Infrastructure and Services diploma program have a highly sought-after skill set. Positions typically lead to rapid promotion within the information technology field. Students learn entrepreneurial skills that would assist those seeking to start their own IT business or consulting firmCo- op AvaialableScholarships Internships","Sheridan College offers students the opportunity to live and study only a short distance from Canada's largest city: Toronto. Students can enrol on 140 full-time study programs, including 28 degree programs, and can tailor their learning experience to their own individual interests and ambitions.Students at Sheridan College benefit from the expertise of staff with considerable professional experience, and enjoy small class sizes and innovative, inspiring teaching methods. The college boasts five faculties, enabling the efficient streamlining of teaching and resources:	Faculty of Animation, Art and Design	Faculty of Applied Health and Community Studies	Faculty of Applied Science and Technology	Faculty of Humanities and Social Sciences	Pilon School of BusinessIndustry-standard courses are informed by employers, ensuring curricula stay up to date with modern standards and requirements. With a heavy focus on the employability of its graduates, the college ensures all of its full-time study programs include an element of experiential learning, with students gaining the knowledge, practical skills, and professional connections needed to effectively boost their career prospects.Indian students join a welcoming community of over 40,000 students at Sheridan College, including 15,400 international students representing 116 countries. A range of activities, events, clubs and societies exist to ensure all students quickly make strong connections and feel at home at the college.With its three campuses located in cities in the Greater Toronto Area, students at Sheridan College benefit from the region's vibrant, multicultural atmosphere, without the busy crowds of the metropolis itself. Indian students benefit from strong flight connections to India, with direct flights to New Delhi from Toronto taking less than 16 hours."
24,KWANTLEN POLYTECHNIC UNIVERSITY,Bachelor of Technology in Information Technology,The Bachelor of Technology in Information Technology (BTech in IT) program allows students to earn a bachelor degree that prepares them for employment in the IT industry in Canada or for graduate school. Courses are offered so that students can focus on network administration and security or mobile and web application development based on their interests and career goals.Scholarships View all scholarshipsInternships,"Established by the government of British Columbia in 1981, Kwantlen, now Kwantlen Polytechnic University, has five campuses located in the Metro Vancouver region of British Columbia. KPU offers bachelor's degrees, associate degrees, diplomas, certificates and citations in more than 140 programs. Almost 20,000 students annually attend courses at KPU campuses in Surrey, Richmond, Langley, Cloverdale, and Civic Plaza. Kwantlen Polytechnic University currently offers a range of credentials, many of which are completely unique, to successfully meet the evolving needs of regional and global employment markets. Students have the opportunity to bridge certificate and diploma credentials into bachelor's degrees, creating the option of academic and professional enhancement of applied and technical programs. KPU is Canada's only polytechnic university. We focus on hands-on skills, in addition to traditional academics. Your education will go beyond books, with experiential learning opportunities like group projects, presentations, guest speakers, and more. Many of our programs include work experience terms, practicums, or cooperative education options. International learning opportunities all over the world through field schools, exchanges, study abroad opportunities, and more. We work closely with industry partners and organizations to ensure our graduates are well prepared to enter the workforce. Our classes have a maximum of 35 students. Student-centered learning environment that brings together students, instructors, guest lecturers, and industry experts. Our faculty have extensive real-world experience in their field, and a passion for teaching. Over 1,400 faculty and staff members. 70+ researchers working on active sponsored research projects. Over 140 diverse degree, diploma, certificate, and citation programs. Foundation and in-school apprenticeship training. Flexible scheduling allows you to take courses full-time or part-time with classes in the morning, afternoon, or evening. Some online courses are also available. Work-Integrated Learning (WIL) is a purposeful, planned and assessed work-based experience that comes in many forms, including practicum courses, co-ops, service learning, and more. At KPU, students have the opportunity to integrate learning with its application in employment and/or community settings. High-tech labs, studios, classrooms, and facilities. Five campuses across Metro Vancouver, including Richmond, Langley, Cloverdale, Surrey, and Civic Plaza. Fitness centres and workout spaces on each campus with a variety of sport and recreational activities for all students including fitness classes, personal training, and intramural leagues."
25,CONESTOGA COLLEGE,Ontario College Diploma in Computer Systems Technician - Information Technology Infrastructure and Services (Optional Co-op),"This program prepares graduates for an exciting career in the field of Information Technology Infrastructure support and administration. Graduate employability is significantly enhanced by in-depth training in a broad range of business, computer and people skills that are in high demand across many industries. Rapid problem solving through the application of critical thinking is an emphasis throughout the program.Program focus is on the practical application of skills and knowledge to install, configure and troubleshoot workstation and server computers, networks and cloud environments. This includes operating systems, infrastructure, network services, database systems, messaging systems and IoT. Practical work is completed on industry standard hardware and software encountered in the workplace. Through their education in this program, students will gain a solid foundation to challenge industry certification exams in the areas of operating system support, networking and virtualization should they so choose. The optional co-op stream includes one co-op work term.Length: 2 yearsStart: September 2024Campus: WaterlooCredential: Ontario College DiplomaScholarships View all scholarshipsInternships","Conestoga is one of the premier polytechnic colleges in Canada, delivering a full range of hands-on education, training and applied research programs to prepare students for success. The college offers career-focused programs that range from diplomas and degrees to postgraduate certificates, which are industry relevant and help equip students with the skills employers are looking for today.Nearly 1,000 business and community leaders offer input into the college's curriculum. Conestoga's project-based learning model gives students the opportunity to learn hands-on and prepare for successful careers in the fields of business and hospitality, engineering and IT, skilled trades, community services, health and life sciences, media and design.Students learn from experienced faculty and can practice in cutting-edge facilities that meet and exceed industry standards. Students can also participate in applied research and help find solutions for real-world clients.Conestoga graduates career-ready students with the skills to address tomorrow's challenges and thrive in a rapidly changing world. Its graduate satisfaction and graduate employment rates are among the highest of Ontario's colleges.According to the 2022-23 Key Performance Indicators (KPI) data released by Colleges Ontario, Conestoga boasts the top graduation rate of all Ontario colleges at 72.9 per cent, ahead of the provincial average of 65 per cent Conestoga's graduate employment rate is the highest among colleges in the Greater Toronto and Golden Horseshoe areas. Within six months of graduation, 90 percent of Conestoga graduates were in employment.More than 92 percent of employers report being ""very satisfied"" with Conestoga graduates.The alumni network of Conestoga is comprised of over 142,000 members. "
26,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY (BCIT),Diploma in Computer Information Technology,"The Computer Information Technology (CIT) Diploma is a two-year computing program focused on operations. Its flipped model and small classes emphasize in-class student participation. This comprehensive curriculum equips you with the skills necessary for various IT roles while preparing you for further studies in related degree programs. This comprehensive full-time program covers the vast landscape of Information Technology (IT), integrating the latest tools and technologies. With a dynamic learning environment of small active classes and flipped curriculum delivery, you’ll be fully engaged in your learning experience.The program offers numerous hands-on projects in collaboration with industry partners, allowing you to apply your skills in practical settings, as well as the possibility of work-integrated learning through Co-ops and practicums. Upon completion, you’ll be well-prepared for a seamless transition into the IT industry, whether within a technology firm or in other enterprises heavily relying on IT systems.Scholarships Internships","Since 1964, the British Columbia Institute of Technology (BCIT) has taught and trained experts, professionals, and innovators who shape our economy—across BC and around the world. We are proud to deliver an education that goes beyond textbooks and classrooms. Our students gain the technical skills, real-world experience, and problem-solving ability needed to embrace complexity and lead innovation in a rapidly changing workforce. Through close collaboration with industry, our network of alumni and partners continue to achieve global success. At BCIT, our leadership team is working to drive the institution towards its aim: quality education that points graduates to meaningful, future-proof careers. The BCIT Strategic Plan 2025–2030: Future Ready: Student Success for a Complex World outlines how the Institute intends to lead, innovate, and transform the future of education. Rooted in our vision of empowering people, shaping British Columbia, and inspiring global progress, this Plan focuses on four commitments and 13 initiatives to support student success. BCIT is one of British Columbia’s largest post-secondary institutes. Nearly 43,000 students enrol each year, attending the five main campuses as well as more locations province-wide. Established in 1964, BCIT now has 210,000 alumni throughout Canada and around the world."
27,CONESTOGA COLLEGE,Ontario College Advanced Diploma in IT Innovation and Design (Optional Co-op),"Profound changes to the world of computer applications have created the need for a new kind of software development professional. As a result of explosive growth in the use of mobile devices, a growing appetite for consumer applications across all demographics, and emerging digital technologies, there is a need for entrepreneurial savvy within Canadian companies to effectively compete globally. This demands computer professionals with skills in graphic design, content creation, User Experience (UX), software development, marketing, and business models in order to design and market new and competitive software applications. The optional co-op stream includes four consecutive four-month work terms.Length: 3 yearsStart: September 2024Campus: WaterlooCredential: Ontario College Advanced DiplomaScholarships View all scholarshipsInternships","Conestoga is one of the premier polytechnic colleges in Canada, delivering a full range of hands-on education, training and applied research programs to prepare students for success. The college offers career-focused programs that range from diplomas and degrees to postgraduate certificates, which are industry relevant and help equip students with the skills employers are looking for today.Nearly 1,000 business and community leaders offer input into the college's curriculum. Conestoga's project-based learning model gives students the opportunity to learn hands-on and prepare for successful careers in the fields of business and hospitality, engineering and IT, skilled trades, community services, health and life sciences, media and design.Students learn from experienced faculty and can practice in cutting-edge facilities that meet and exceed industry standards. Students can also participate in applied research and help find solutions for real-world clients.Conestoga graduates career-ready students with the skills to address tomorrow's challenges and thrive in a rapidly changing world. Its graduate satisfaction and graduate employment rates are among the highest of Ontario's colleges.According to the 2022-23 Key Performance Indicators (KPI) data released by Colleges Ontario, Conestoga boasts the top graduation rate of all Ontario colleges at 72.9 per cent, ahead of the provincial average of 65 per cent Conestoga's graduate employment rate is the highest among colleges in the Greater Toronto and Golden Horseshoe areas. Within six months of graduation, 90 percent of Conestoga graduates were in employment.More than 92 percent of employers report being ""very satisfied"" with Conestoga graduates.The alumni network of Conestoga is comprised of over 142,000 members. "
28,YORK UNIVERSITY,Bachelor of Commerce (Honours) - Information Technology,"The School of Information Technology (ITEC) offers students the tools to become a versatile IT professionals who understand contemporary challenges and opportunities within the industry.Located near some of the most important Liberal Arts and BusinessCommerce schools in the country, we aim to provide a robust information systems and technologies education while cultivating awareness of how such technologies apply to organizations and businesses.Learn from a mix of research-driven faculty and industry professionals who are experienced in dynamic areas such as information retrieval, business analysis, cloud computing, IT strategy, data analytics, IT project management and information visualization.Our programs are specially designed to emphasize the analysis, design, development and management of complex information systems, allowing students to choose the level to which they want to combine this expertise with pure business education.Scholarships Internships","York is a top international teaching and research university and a driving force for positive change. Located in Toronto, Canada, York is empowered by a welcoming and diverse community with a uniquely global perspective, we are preparing our students for their long-term career and personal success. Together we are making things right for our communities, our planet, and our future. The University Academic Plan (UAP) 2020-2025 is about coming together to make positive change for our students, our campuses, and our local and global communities. This UAP is launching at a moment of unprecedented trial for human and planetary health, security, well-being, and understanding. In the midst of both a global pandemic and an international mobilization against anti-Black racism, our York University community has demonstrated extraordinary creativity, solidarity, and dedication to serving the public good while caring for all people, including the most marginalized and vulnerable. As a leading generator of knowledge and exemplar of social responsibility, York seeks to bring expertise from across disciplines to build new tools and strategies to tackle the myriad dimensions of these historic crises. Notwithstanding the restraints imposed by physical distancing, we are truly coming together as a resilient community. In the process, we are proving once again York’s commitment to an enduring and distinctive set of core values: We strive for Excellence in fulfilling all aspects of our mission. We are Progressive, encouraging open minded inquiry, innovative approaches, and forward looking solutions. We champion Diversity and Inclusivity, embracing differing perspectives, peoples, and ways of knowing, and fostering global fluencies and cross-cultural knowledges. We are passionate about advancing Social Justice and Equity through critical insight, creative problem solving, and socially responsible action. We uphold Sustainability – environmental, social, and fiscal – as a vital compass for decisions and initiatives. The mission of York University is the pursuit, preservation, and dissemination of knowledge. We promise excellence in research and teaching in pure, applied, and professional fields. We test the boundaries and structures of knowledge. We cultivate the critical intellect. York University is part of Toronto: we are dynamic, metropolitan, and multi-cultural. York University is part of Canada: we encourage bilingual study, we value diversity. York University is open to the world: we explore global concerns. A community of faculty, students, staff, alumni, and volunteers committed to academic freedom, social justice, accessible education, and collegial self-governance. York University makes innovation its tradition. Tentanda Via: The way must be tried. "
29,SAIT POLYTECHNIC,Diploma in Interactive Design - User Experience,"This program will help you become a designer who also excels in creating user-centric experiences using cutting-edge design tools and techniques.This integrated program combines design fundamentals, design tools and design thinking with a focus on interactivity, usability testing, research and adaptability to deliver a holistic education in modern design practices.Scholarships Internships","Southern Alberta Institute of Technology (SAIT) is a leading polytechnic institution in Canada and is the third largest provider of post-secondary education in the state of Alberta. SAIT is renowned for providing outstanding hands-on, industry facing education and applied learning that gives students the skills they require to excel in a transforming employment market.SAIT is a global institution, hosting students from over 97 countries on an annual basis. SAIT's focus is on providing education of highest quality, from a stunning campus in Calgary, Canada which is equipped with world-class facilities, amenities, and a supportive faculty.Calgary is the fourth largest city in Canada and is known for its multiculturalism and friendliness, as well as being one of the country's economic hubs. It is an exciting, modern city that is regarded as one of the safest places to live and visit in Canada. As one of the cheapest cities in Canada, students can expect to pay an average of just CAD 400 for groceries, less than CAD 1,200 for a one-bedroom city centre apartment, and an average of CAD 106 per month for transport. The city is nestled within an area of great natural beauty near Banff and the Canadian Rocky Mountains and offers unparalleled access to a range of outdoor pursuits ranging from hiking to cycling, and skiing to fishing. Calgary was recently rated the fourth most livable city in the world by the Economist Intelligence Unit.SAIT is tuned in to the world of business, technology and innovation. It prides itself on creating confident, skilled, desirable graduates and its success is reflected through the 90 percent graduate employment rate that its graduates enjoy, and a 95 percent recommendation rate from its alumni."
30,NOVA SCOTIA COMMUNITY COLLEGE,Diploma in IT Data Analytics,"With the increased use of smart devices, sensors, intelligent systems and other tools, the volume of data has become harder to manage. The IT Data Analytics program gives you the opportunity to get the skills and knowledge needed to understand and manage vast volumes of data. You learn to make sense of information so that timely, accurate and efficient business decisions can be made.Graduates with data analytics skills are in high demand and can look forward to exciting and fulfilling careers in many fields.Career optionsGraduates of this program could work in the following positions: Junior business analysts, Database administratorsData analytics specialists, Data interpretation analysts, Data architectsScholarships Internships","Nova Scotia Community College is transforming our province. Through our network of 14 campuses, we provide Nova Scotians with inclusive and flexible access to education and the specialized, industry-driven training essential for today and tomorrow’s workforce. We believe the future lies in the power of learning, which is why we care about the success of every student – in education, in career and in life. Our vision, mission, promise and values fill us with purpose, guide our work and drive us forward. We realize our vision and mission through our strategic plan, which focuses on the following key areas: Student success Community impact, Organizational excellence, academic quality. We demonstrate our commitment to our values with leadership from Human Rights, Equity and Inclusion, our international partnerships and our sustainability practices. We work closely with employers and industry partners across Nova Scotia to develop programs, learning opportunities and research projects that not only support our students with their studies, but benefit our collaborators and communities. Whether we’re creating a new program in response to an industry need, supporting students with work-integrated learning, or working on a specialized research initiative, we’re committed to ensuring students get the experience they require while providing value to our partners. Your NSCC credential is your ticket to being a lifelong member of the alumni community. You're part of a network of over 100,000 proud and talented grads like you who are making their mark across Nova Scotia, Canada, and beyond. NSCC Applied Research develops practical solutions for industry's real-world challenges. Our expert research team and network of students from some of the College's most advanced programs, help industry improve their products, enhance processes and grow their businesses. The College values diversity and inclusion and is committed to employment equity. We encourage applications from all qualified candidates including Aboriginal/Indigenous Persons, Black/African Nova Scotians, members of racially visible communities, persons with disabilities, persons of a minority sexual orientation, gender identity and/or expression, and women. Applicants from these communities wishing to self-identify may do so by completing the online questionnaire within the application."
31,SENECA POLYTECHNIC,Honours Bachelor of Information Technology - Cybersecurity,"In this four-year honours bachelor degree, you will learn the critical knowledge and practical skills required for a successful career in information security. You will develop comprehensive knowledge of vulnerability and threat assessment, risk management, data analysis and network and operating system infrastructure. This program focuses on practical applications that solve a variety of technological threats including hackers, malware and data breaches.Formerly known as Honours Bachelor of Technology – Informatics and SecurityScholarships View all scholarshipsInternships","Seneca Polytechnic is an urban polytechnic offering a range of education programs including diplomas, undergraduate degrees, and graduate programs. Based in the Greater Toronto Area, Seneca is a leading provider of academic pathways across Ontario colleges. The institution has more than 75 transfer partnerships across the world, designed to lead directly into undergraduate or graduate qualifications at Seneca or further afield.Seneca is where advanced research and rigorous academic studies meets hands-on, practical learning. With a passionate faculty, Seneca's programs are engaging, relevant, and fulfilling for all students.Seneca is made up of five campuses across the Greater Toronto Area, each with their own specialities. The institution provides access to a variety of learning options, with programs in four formats: in-person, flexible, hybrid and online. Scheduled and asynchronous learning patterns are also available.The polytechnic is known for its vibrant community and diverse student body, with international learners from more than 150 countries worldwide. Seneca has its own support team who help overseas learners integrate and settle in quickly.Seneca strikes a great balance between academic opportunity and recreational activity. The city of Toronto is home to many exciting activities, attractions, stores, restaurants and nightlife, while the campuses offer lots of options themselves."
32,SAIT POLYTECHNIC,Diploma in Information Technology,"The Information Technology (IT) field focuses on the generation, storage, retrieval, transmission and protection of information, as well as the hardware and software involved in these processes. For that reason, IT professionals are often called IT specialistsconsultants or business process consultants, and collectively form the division of an organization that deals with computers, software, and communication technology. This division is commonly known as the IT department, and as a graduate of this program, you’ll be trained to become meaningful member of such teams. This program includes an optional cooperative work-term placement in the second year of study, and is available to students in each of the four majorsScholarships Internships","Southern Alberta Institute of Technology (SAIT) is a leading polytechnic institution in Canada and is the third largest provider of post-secondary education in the state of Alberta. SAIT is renowned for providing outstanding hands-on, industry facing education and applied learning that gives students the skills they require to excel in a transforming employment market.SAIT is a global institution, hosting students from over 97 countries on an annual basis. SAIT's focus is on providing education of highest quality, from a stunning campus in Calgary, Canada which is equipped with world-class facilities, amenities, and a supportive faculty.Calgary is the fourth largest city in Canada and is known for its multiculturalism and friendliness, as well as being one of the country's economic hubs. It is an exciting, modern city that is regarded as one of the safest places to live and visit in Canada. As one of the cheapest cities in Canada, students can expect to pay an average of just CAD 400 for groceries, less than CAD 1,200 for a one-bedroom city centre apartment, and an average of CAD 106 per month for transport. The city is nestled within an area of great natural beauty near Banff and the Canadian Rocky Mountains and offers unparalleled access to a range of outdoor pursuits ranging from hiking to cycling, and skiing to fishing. Calgary was recently rated the fourth most livable city in the world by the Economist Intelligence Unit.SAIT is tuned in to the world of business, technology and innovation. It prides itself on creating confident, skilled, desirable graduates and its success is reflected through the 90 percent graduate employment rate that its graduates enjoy, and a 95 percent recommendation rate from its alumni."
33,YORK UNIVERSITY,Professional Certificate in Information Technology Auditing and Assurance,"Help organizations ensure compliance and growth in their IT operations. Graduating with a certificate: except where otherwise stated, a minimum cumulative grade point average of 4.00 is required to satisfy certificate requirements. Students must also submit an application to graduate from a certificate program. Applications should be obtained from and filed with the unit administering the certificate program. Transcript notation that the requirements for a certificate have been completed will be made once the Registrar's Office has received notice from the unit administering the program. Certificates will not be conferred until candidates have successfully completed an undergraduate degree program if they are simultaneously enrolled in a degree and a certificate program. The Faculty does not award certificates retroactively. Refer to the Academic Standards section for details of the undergraduate certificate minimum standards.Scholarships Internships","York is a top international teaching and research university and a driving force for positive change. Located in Toronto, Canada, York is empowered by a welcoming and diverse community with a uniquely global perspective, we are preparing our students for their long-term career and personal success. Together we are making things right for our communities, our planet, and our future. The University Academic Plan (UAP) 2020-2025 is about coming together to make positive change for our students, our campuses, and our local and global communities. This UAP is launching at a moment of unprecedented trial for human and planetary health, security, well-being, and understanding. In the midst of both a global pandemic and an international mobilization against anti-Black racism, our York University community has demonstrated extraordinary creativity, solidarity, and dedication to serving the public good while caring for all people, including the most marginalized and vulnerable. As a leading generator of knowledge and exemplar of social responsibility, York seeks to bring expertise from across disciplines to build new tools and strategies to tackle the myriad dimensions of these historic crises. Notwithstanding the restraints imposed by physical distancing, we are truly coming together as a resilient community. In the process, we are proving once again York’s commitment to an enduring and distinctive set of core values: We strive for Excellence in fulfilling all aspects of our mission. We are Progressive, encouraging open minded inquiry, innovative approaches, and forward looking solutions. We champion Diversity and Inclusivity, embracing differing perspectives, peoples, and ways of knowing, and fostering global fluencies and cross-cultural knowledges. We are passionate about advancing Social Justice and Equity through critical insight, creative problem solving, and socially responsible action. We uphold Sustainability – environmental, social, and fiscal – as a vital compass for decisions and initiatives. The mission of York University is the pursuit, preservation, and dissemination of knowledge. We promise excellence in research and teaching in pure, applied, and professional fields. We test the boundaries and structures of knowledge. We cultivate the critical intellect. York University is part of Toronto: we are dynamic, metropolitan, and multi-cultural. York University is part of Canada: we encourage bilingual study, we value diversity. York University is open to the world: we explore global concerns. A community of faculty, students, staff, alumni, and volunteers committed to academic freedom, social justice, accessible education, and collegial self-governance. York University makes innovation its tradition. Tentanda Via: The way must be tried. "
34,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY (BCIT),Diploma in Business Information Technology Management,"If you’re looking to gain the training necessary to start or grow your career, the BCIT Business Information Technology Management (BITMAN) diploma program gives you a broad range of skills that make you stand out in almost any industry.With cutting-edge courses that are relevant to today’s IT and business demands, BCIT gives you the leadership skills, the know-how, and the confidence for a successful career in business information technology, business analysis, and data analytics management. The BITMAN program will prepare you for success in a rapidly changing world.Throughout the program, you’ll develop the knowledge and experience necessary to begin or advance to a successful career, such as:Applying general business functions for organizational success (e.g., accounting, marketing, finance, and operations management).Performing the role of business information technology analyst.Designing and improving business systems to meet customer information technology requirements.Developing and managing project plans to implement business improvement.Developing appropriate change management strategies necessary to gain organizational support.Using quantitative analysis and business analytics methods to analyze data and solve business problems.Scholarships Internships","Since 1964, the British Columbia Institute of Technology (BCIT) has taught and trained experts, professionals, and innovators who shape our economy—across BC and around the world. We are proud to deliver an education that goes beyond textbooks and classrooms. Our students gain the technical skills, real-world experience, and problem-solving ability needed to embrace complexity and lead innovation in a rapidly changing workforce. Through close collaboration with industry, our network of alumni and partners continue to achieve global success. At BCIT, our leadership team is working to drive the institution towards its aim: quality education that points graduates to meaningful, future-proof careers. The BCIT Strategic Plan 2025–2030: Future Ready: Student Success for a Complex World outlines how the Institute intends to lead, innovate, and transform the future of education. Rooted in our vision of empowering people, shaping British Columbia, and inspiring global progress, this Plan focuses on four commitments and 13 initiatives to support student success. BCIT is one of British Columbia’s largest post-secondary institutes. Nearly 43,000 students enrol each year, attending the five main campuses as well as more locations province-wide. Established in 1964, BCIT now has 210,000 alumni throughout Canada and around the world."
